,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Date
116,Kavieng,-2.57,150.8,83.39,75,71,7.94,1584389255
117,Morondava,-20.28,44.28,73.67,95,0,2.93,1584389255
118,Wanning,18.8,110.4,72.23,88,73,8.61,1584389255
119,Thompson,55.74,-97.86,14.0,78,90,11.41,1584389256
120,New Norfolk,-42.78,147.06,53.6,76,91,11.41,1584389256
121,Vao,-22.67,167.48,78.53,72,17,11.54,1584389256
122,Bengkulu,-3.8,102.27,74.93,86,100,3.24,1584389256
123,Puerto Ayora,-0.74,-90.35,84.2,66,32,8.05,1584389256
124,Pozoblanco,38.38,-4.85,48.2,81,75,3.36,1584389257
125,Tsaitien,30.58,114.03,50.0,81,100,4.25,1584389257
126,Wewak,-3.55,143.63,75.11,89,100,3.58,1584389257
127,Araouane,18.9,-3.53,81.23,8,60,10.07,1584389257
128,Bilibino,68.05,166.44,7.97,90,100,3.76,1584389257
129,Norman Wells,65.28,-126.83,6.8,71,90,4.7,1584389258
130,Narsaq,60.92,-46.05,17.6,44,75,3.36,1584389258
131,Kyzyl-Suu,42.34,78.0,36.77,42,99,3.4,1584389258
132,Inta,66.03,60.17,25.07,87,100,23.62,1584389258
133,Guerrero Negro,27.98,-114.06,64.85,58,76,17.05,1584389258
134,Iqaluit,63.75,-68.51,3.2,77,90,10.29,1584389258
135,Klaksvík,62.23,-6.59,41.0,86,12,4.7,1584389258
136,Grindavik,63.84,-22.43,35.6,88,75,3.36,1584389259
137,Broome,42.25,-75.83,50.0,28,1,10.29,1584389099
138,Pringsewu,-5.36,104.97,71.51,96,98,2.24,1584389259
139,Eureka,40.8,-124.16,55.0,61,20,8.05,1584389242
140,Tuatapere,-46.13,167.68,45.0,91,0,1.99,1584389259
141,Kharan,28.58,65.42,67.91,24,0,9.51,1584389259
142,Waterloo,43.47,-80.52,44.01,35,20,10.29,1584389031
143,San Patricio,19.22,-104.7,86.0,79,20,11.41,1584389260
144,Parry Sound,45.35,-80.03,34.97,56,100,9.26,1584389260
145,Ostrovnoy,68.05,39.51,17.33,88,20,17.0,1584389260
146,Ystad,55.43,13.82,46.4,70,75,5.82,1584389260
147,Romanovo,52.62,81.23,24.89,94,100,3.56,1584389260
148,Philadelphia,39.95,-75.16,51.01,49,90,9.17,1584389095
149,Upernavik,72.79,-56.15,-18.31,56,0,8.1,1584389247
150,Sambava,-14.27,50.17,72.59,97,99,2.46,1584389261
151,Filingué,14.35,3.32,85.19,10,100,8.57,1584389261
152,Nadym,65.53,72.52,14.63,88,100,22.97,1584389261
153,Nikki,9.94,3.21,81.59,9,100,5.01,1584389261
154,Nova Praha,48.57,32.9,30.2,39,51,4.5,1584389261
155,Carauari,-4.88,-66.9,81.59,80,100,1.57,1584389261
156,Kupang,-10.17,123.58,82.13,72,70,5.17,1584389262
157,Dhidhdhoo,6.88,73.1,83.03,75,14,8.14,1584389262
158,Sterling,39.01,-77.43,55.4,43,90,11.41,1584389262
159,Manoel Urbano,-8.84,-69.26,78.53,96,100,3.2,1584389262
160,South Kazakhstan Region,43.0,68.0,64.31,42,100,4.88,1584389262
161,Airai,-8.93,125.41,64.13,83,46,3.8,1584389263
162,Chokurdakh,70.63,147.92,-17.95,86,0,3.65,1584389263
163,Alice Springs,-23.7,133.88,60.8,44,0,4.7,1584389127
164,Qaanaaq,77.48,-69.36,-4.09,49,26,4.14,1584389263
165,Alofi,-19.06,-169.92,80.6,88,100,4.7,1584389263
166,San Quintín,30.48,-115.95,59.99,63,99,11.9,1584389264
167,Jumla,29.27,82.18,29.57,38,0,5.41,1584389264
168,São Filipe,14.9,-24.5,69.17,77,43,21.88,1584389264
169,Constitución,-35.33,-72.42,63.41,65,33,10.58,1584389182
170,Nouadhibou,20.93,-17.03,66.2,72,40,20.8,1584389264
171,Sur,22.57,59.53,66.47,76,0,5.19,1584389265
172,Salamanca,40.83,-6.0,39.2,93,90,24.16,1584389265
173,Xichang,27.9,102.26,36.41,92,100,6.04,1584389265
174,Pomichna,48.24,31.42,34.07,49,0,5.91,1584389265
175,San Roque,36.21,-5.38,60.8,44,0,19.46,1584389265
176,Ilām,26.92,87.92,47.93,60,100,3.8,1584389266
177,Hofn,64.25,-15.21,33.8,76,75,9.17,1584389266
178,College,64.86,-147.8,30.2,86,90,6.93,1584389161
179,Flinders,-34.58,150.86,61.0,100,60,6.93,1584389266
180,Vysokogornyy,50.12,139.15,3.47,97,100,1.74,1584389266
181,Katete,-0.78,29.75,60.71,92,100,3.29,1584389267
182,Coquimbo,-29.95,-71.34,64.4,77,75,10.29,1584389267
183,Leh,34.17,77.58,14.81,38,100,1.34,1584389267
184,Kralendijk,12.15,-68.27,82.4,69,40,13.87,1584389267
185,Khasan,42.43,130.64,28.67,68,98,3.44,1584389267
186,Caraballeda,10.61,-66.85,79.0,68,74,10.29,1584389090
187,Ouadda,8.08,22.4,75.47,29,100,4.97,1584389268
188,Beringovskiy,63.05,179.32,32.09,96,100,21.56,1584389268
189,Ponta Delgada,37.73,-25.67,59.0,77,20,2.24,1584389268
190,Meadville,41.64,-80.15,51.01,39,90,6.93,1584389268
191,Derzhavīnsk,51.1,66.32,36.59,99,100,8.19,1584389268
192,Yulara,-25.24,130.99,73.4,16,0,6.93,1584389269
193,Broken Hill,-31.95,141.43,62.6,42,0,6.93,1584389031
194,Ahipara,-35.17,173.17,64.67,74,100,15.79,1584389269
195,Port Blair,11.67,92.75,82.85,75,58,5.37,1584389269
196,Clyde River,70.47,-68.59,-11.2,57,75,3.36,1584389269
197,Kloulklubed,7.04,134.26,77.0,83,75,4.7,1584389269
198,Samus',56.75,84.7,32.0,93,20,8.95,1584389269
199,Russell,32.35,-85.2,80.01,64,20,8.05,1584389270
200,Tuktoyaktuk,69.45,-133.04,10.4,85,90,9.17,1584389270
201,Riyadh,24.69,46.72,69.8,37,0,4.7,1584389108
202,Vanavara,60.34,102.28,30.47,91,100,14.88,1584389270
203,Arlit,18.74,7.39,81.59,10,71,10.2,1584389270
204,Sorong,-0.88,131.25,71.51,98,76,1.36,1584389271
205,Loans,55.55,-4.62,48.2,81,75,18.34,1584389271
206,Bradford,53.79,-1.75,48.99,64,100,17.22,1584389169
207,Ambulu,-8.35,113.61,79.79,83,89,5.48,1584388975
208,Cabo San Lucas,22.89,-109.91,82.99,60,20,9.17,1584389049
209,Bandarbeyla,9.49,50.81,79.07,77,57,13.49,1584389272
210,Qiongshan,20.01,110.35,71.6,94,75,2.24,1584389272
211,Tezu,27.92,96.17,60.53,49,14,4.03,1584389272
212,Kruisfontein,-34.0,24.73,61.61,79,12,21.99,1584389273
213,Pangkalanbuun,-2.68,111.62,73.67,97,100,1.68,1584388989
214,George Town,5.41,100.34,82.4,88,20,10.29,1584389273
215,Umluj,25.02,37.27,73.31,42,0,6.49,1584389273
216,Waddān,29.16,16.14,65.57,46,0,6.38,1584389273
217,Lebu,-37.62,-73.65,64.49,61,100,11.52,1584389273
218,Carnduff,49.17,-101.8,19.99,70,0,10.0,1584389274
219,Salalah,17.02,54.09,78.8,65,75,8.05,1584389274
220,Cravo Norte,6.3,-70.2,100.31,24,33,11.23,1584389274
221,The Valley,18.22,-63.06,82.99,61,40,10.29,1584389274
222,Rome,43.21,-75.46,48.99,28,1,10.29,1584388985
223,East London,-33.02,27.91,68.63,70,76,18.63,1584389274
224,Los Llanos de Aridane,28.66,-17.92,64.4,68,20,19.46,1584389206
225,Finnsnes,69.23,17.98,28.4,79,75,3.36,1584389275
226,Tawang Town,27.58,91.87,25.79,51,10,3.96,1584389275
227,Luau,-10.71,22.22,67.55,94,100,3.24,1584389275
228,Kamskiye Polyany,55.43,51.42,28.4,68,50,11.18,1584389275
229,Camacha,33.08,-16.33,59.0,62,40,10.29,1584389275
230,Margate,51.38,1.39,48.0,70,0,5.82,1584389276
231,Plettenberg Bay,-34.05,23.37,64.67,80,0,14.7,1584389276
232,Fort Nelson,58.81,-122.7,23.0,67,75,2.24,1584389276
233,Les Cayes,18.2,-73.75,79.61,65,0,7.78,1584389276
234,Barbastro,42.04,0.13,55.0,76,40,11.41,1584389056
235,Moa,20.66,-74.94,74.21,64,0,7.63,1584389276
236,Te Anau,-45.42,167.72,40.55,74,0,4.32,1584389276
237,Haapsalu,58.94,23.54,34.0,86,1,3.0,1584389277
238,Kahului,20.89,-156.47,77.0,69,20,3.36,1584389277
239,Bānswāra,23.55,74.45,67.55,25,98,8.52,1584389277
240,Cherskiy,68.75,161.3,17.51,89,100,12.77,1584389277
241,Gouré,13.98,10.27,84.0,8,100,4.0,1584389277
242,Bariloche,-41.15,-71.31,66.2,37,40,24.16,1584389175
243,Tilichiki,60.47,166.1,30.29,94,100,16.62,1584389278
244,Kedrovyy,56.17,91.82,35.6,59,40,26.84,1584389278
245,Manado,1.49,124.85,70.43,96,91,0.38,1584389278
246,Abonnema,4.71,6.79,87.8,74,40,11.41,1584389278
247,Huilong,31.81,121.66,51.01,75,86,9.19,1584389278
248,Almaznyy,48.04,40.05,32.0,65,0,4.47,1584389278
249,Murgab,37.5,61.97,62.6,59,75,4.7,1584389279
250,Belmonte,-15.86,-38.88,82.4,69,40,8.05,1584389279
251,Satwās,22.53,76.68,70.07,20,16,8.03,1584389279
252,Pangnirtung,66.15,-65.71,-5.8,76,90,5.82,1584389280
253,Verkhnevilyuysk,63.45,120.32,17.87,96,97,5.55,1584389280
254,Tabas,33.6,56.92,66.2,52,0,4.7,1584389107
255,Labuhan,-6.88,112.21,74.93,93,100,2.44,1584389280
256,Ancud,-41.87,-73.82,60.8,87,75,6.93,1584389280
257,Saint-Joseph,-21.37,55.62,75.2,88,20,5.82,1584389280
258,Chui,-33.7,-53.46,70.07,58,0,11.79,1584389281
259,Kiryat Gat,31.61,34.76,63.0,87,0,1.12,1584389221
260,Staffanstorp,55.64,13.21,46.4,70,75,5.82,1584389281
261,Mount Gambier,-37.83,140.77,53.6,76,31,6.93,1584389281
262,Daultala,33.19,73.14,61.0,82,0,4.7,1584389281
263,Freeport,40.66,-73.58,45.0,60,75,12.75,1584389078
264,Saint Anthony,45.02,-93.22,39.0,74,90,10.29,1584389282
265,Olinda,-8.01,-34.86,86.0,66,75,9.17,1584389282
266,Vila Franca do Campo,37.72,-25.43,59.0,77,20,2.24,1584389282
267,Port Lincoln,-34.73,135.87,70.25,36,69,11.79,1584389282
268,Kaitangata,-46.28,169.85,50.45,57,100,8.88,1584389282
269,Uchiza,-8.46,-76.46,78.53,66,42,1.7,1584389282
270,Khandyga,62.67,135.6,-9.13,90,98,1.79,1584389283
271,Bambous Virieux,-20.34,57.76,77.0,94,90,3.36,1584389283
272,Magán,39.97,-3.93,42.8,81,40,6.93,1584389283
273,Sayyan,15.17,44.32,57.29,68,3,1.79,1584389283
274,La Palma,33.85,-118.05,64.4,55,75,18.34,1584389283
275,Rosetta,31.4,30.42,62.6,72,40,16.11,1584389283
276,Qui Nhon,13.77,109.23,71.51,94,53,1.77,1584389283
277,Avera,33.19,-82.53,62.6,67,100,4.7,1584389283
278,Opuwo,-18.06,13.84,71.87,53,83,4.43,1584389284
279,Pochutla,15.74,-96.47,91.4,49,40,11.41,1584389284
280,Bumba,2.18,22.47,77.81,69,100,4.99,1584389284
281,Tual,-5.67,132.75,81.95,74,100,5.86,1584389226
282,Itoman,26.12,127.67,57.2,67,75,3.36,1584389284
283,Tomatlán,19.93,-105.25,89.15,45,65,9.19,1584389284
284,Makīnsk,52.63,70.42,30.83,97,100,8.3,1584389284
285,Sept-Îles,50.2,-66.38,18.0,56,20,11.41,1584389285
286,Miyang,24.4,103.44,52.97,95,100,2.59,1584389285
287,Xining,36.62,101.77,28.67,50,0,4.56,1584389285
288,Lavrentiya,65.58,-171.0,20.57,91,100,3.65,1584389285
289,Savannah Bight,16.45,-85.85,79.25,77,8,18.1,1584389285
290,Port Hardy,50.7,-127.42,41.0,65,5,4.7,1584389285
291,The Pas,53.83,-101.25,19.4,79,90,14.99,1584389270
292,Rokytne,51.28,27.21,39.29,56,100,11.92,1584389286
293,Hamilton,39.18,-84.53,48.99,65,90,8.05,1584389200
294,Honiara,-9.43,159.95,75.2,100,75,2.24,1584389286
295,Chuchkovo,54.27,41.45,31.01,62,86,12.19,1584389286
296,Nālūt,30.33,10.85,64.85,35,57,23.11,1584389286
297,Harper,4.38,-7.72,77.63,92,95,3.94,1584389287
298,Samarai,-10.62,150.67,76.55,84,99,3.67,1584389287
299,Shenjiamen,29.96,122.3,54.23,74,94,15.39,1584389287
300,Valparaíso,-33.04,-71.63,64.4,72,40,8.05,1584389069
301,Cayenne,4.93,-52.33,86.0,66,100,12.75,1584389243
302,São Sebastião,-23.76,-45.41,78.35,85,0,3.53,1584389174
303,Shimokizukuri,40.81,140.39,37.0,37,87,13.0,1584389287
304,General Roca,-39.03,-67.58,80.6,39,100,4.7,1584389288
305,Ishigaki,24.34,124.16,67.37,52,15,7.43,1584389288
306,Maubin,16.73,95.65,77.0,73,1,6.93,1584389288
307,Aquiraz,-3.9,-38.39,86.0,66,20,6.93,1584389288
308,Palmer,42.16,-72.33,45.0,26,75,6.93,1584389288
309,Lensk,60.73,114.93,18.05,97,86,3.49,1584389288
310,Montecristo,8.3,-74.47,96.53,35,99,5.41,1584389289
311,Havre-St-Pierre,50.23,-63.6,17.6,52,1,10.29,1584389289
312,Tagusao,9.19,117.81,72.59,87,1,3.49,1584389289
313,San Andrés,12.58,-81.7,86.0,66,40,13.87,1584389289
314,Bartlesville,36.75,-95.98,50.0,87,90,3.36,1584389035
315,Lloró,5.5,-76.55,84.2,74,75,2.35,1584389289
316,Fortuna,40.6,-124.16,55.0,61,20,8.05,1584389290
317,Artvin Province,41.17,41.83,39.2,86,90,8.05,1584389290
318,Leer,8.3,30.14,80.51,16,0,2.39,1584389290
319,Ayr,55.46,-4.63,48.2,81,75,18.34,1584389290
320,Ushtobe,45.25,77.98,49.19,38,100,7.61,1584389290
321,Berlin,52.52,13.41,52.0,81,6,2.24,1584389137
322,Tsimmerbude,54.67,20.13,42.8,93,75,11.18,1584389291
323,Strelka,58.07,93.03,21.47,91,100,17.83,1584389291
324,Poum,-20.23,164.02,79.79,80,10,18.03,1584389291
325,Teeli,51.03,90.23,25.25,56,99,6.46,1584389291
326,Coyhaique,-45.58,-72.07,66.2,52,75,4.7,1584389291
327,Maragogi,-9.01,-35.22,82.31,78,100,12.77,1584389292
328,Port Augusta,-32.5,137.77,66.99,58,92,5.82,1584389292
329,Sørland,67.67,12.69,32.0,70,75,8.05,1584389292
330,Zhezkazgan,47.8,67.71,37.13,84,82,5.03,1584389292
331,Kargasok,59.06,80.86,4.01,92,0,8.61,1584389292
332,Bereket,39.24,55.52,56.93,57,59,1.28,1584389293
333,Humboldt,40.67,-123.92,55.0,61,20,8.05,1584389293
334,Shintomi,32.08,131.47,45.05,61,100,7.76,1584389293
335,Arrondissement de Mende,44.67,3.5,46.4,61,69,3.36,1584389293
336,Le Port,-20.94,55.29,75.2,88,20,6.93,1584389293
337,Lowestoft,52.48,1.75,46.0,86,20,6.93,1584389294
338,Tura,25.52,90.22,65.75,40,67,1.88,1584389294
339,Amurzet,47.7,131.1,12.11,84,0,5.06,1584389294
340,Sumbe,-11.21,13.84,77.63,83,100,2.62,1584389295
341,Anadyr,64.75,177.48,26.6,92,40,33.55,1584389295
342,Waipawa,-41.41,175.52,55.4,62,100,33.33,1584389295
343,Vágur,61.47,-6.81,43.61,69,9,32.21,1584389295
344,Pyapon,16.28,95.68,69.89,82,1,6.51,1584389295
345,Oudtshoorn,-33.59,22.2,60.8,77,0,13.87,1584389296
346,Aklavik,68.22,-135.01,28.4,86,90,14.99,1584389296
347,Karaton,-6.34,106.1,77.0,88,20,2.24,1584389296
348,Angoche,-16.23,39.91,73.13,92,6,4.5,1584389296
349,Santa Cruz,30.42,-9.6,64.4,63,0,18.34,1584389046
350,Mana,5.66,-53.78,82.31,66,5,6.53,1584389296
351,Paamiut,61.99,-49.67,-0.67,60,5,8.32,1584389296
352,Karratha,-20.74,116.85,85.19,70,0,10.0,1584389297
353,Chaumont,48.12,5.13,55.4,62,90,4.7,1584389297
354,Barcelos,41.54,-8.62,53.01,57,0,11.41,1584389297
355,Fairbanks,64.84,-147.72,28.99,86,90,6.93,1584389186
356,Chowchilla,37.12,-120.26,50.0,93,90,12.75,1584389297
357,Half Moon Bay,37.46,-122.43,52.0,66,1,6.93,1584389125
358,Geraldton,-28.77,114.6,71.6,56,40,13.87,1584389298
359,Santo Domingo,18.5,-69.99,87.8,58,40,17.22,1584389103
360,Tibiri,13.56,7.05,78.35,10,6,8.61,1584389299
361,Iralaya,15.0,-83.23,86.0,70,40,11.41,1584389299
362,Kameoka,35.0,135.58,36.0,56,0,1.01,1584389299
363,Caravelas,-17.71,-39.25,80.87,79,100,10.27,1584389299
364,Chicama,-7.84,-79.15,75.2,78,75,8.05,1584389299
365,Chara,56.91,118.26,7.43,73,90,0.56,1584389300
366,Kenai,60.55,-151.26,30.99,79,1,4.7,1584389300
367,Tecalitlán,19.47,-103.3,82.4,65,75,9.17,1584389300
368,Millinocket,45.66,-68.71,34.0,28,1,4.7,1584389133
369,Pacific Grove,36.62,-121.92,52.0,71,75,1.92,1584389178
370,Hervey Bay,-25.3,152.85,66.99,72,27,9.17,1584389301
371,Comodoro Rivadavia,-45.87,-67.5,78.8,36,75,16.11,1584389220
372,Clovis,36.83,-119.7,57.0,93,90,10.29,1584389006
373,Hueyapan,18.87,-98.67,86.0,28,40,4.7,1584389301
374,Muromtsevo,56.37,75.24,21.83,92,100,2.19,1584389302
375,Rongcheng,30.63,117.85,51.89,76,100,2.17,1584389302
376,Saldanha,-33.01,17.94,78.8,41,0,10.29,1584389229
377,Ust-Maya,60.42,134.53,-3.01,98,95,2.26,1584389302
378,Trincomalee,8.57,81.23,74.57,95,27,2.82,1584389302
379,Gravdal,68.12,13.5,33.8,68,75,8.05,1584389303
380,Hirtshals,57.59,9.96,37.0,91,0,8.57,1584389303
381,Maniitsoq,65.42,-52.9,1.13,72,4,13.87,1584389303
382,Melfi,41.0,15.65,48.2,87,5,4.7,1584389303
383,San Miguel de Cozumel,20.51,-86.95,86.0,58,40,17.22,1584389126
384,Mitsamiouli,-11.38,43.28,83.75,71,2,3.49,1584389304
385,Caçu,-18.56,-51.13,78.53,83,49,3.09,1584389304
386,Soe,-9.86,124.28,73.85,80,76,3.49,1584389226
387,Le Mars,42.79,-96.17,41.0,86,90,4.7,1584389305
388,Saint George,37.1,-113.58,66.0,26,100,13.87,1584389103
389,Andros Town,24.7,-77.77,77.0,74,4,5.01,1584389305
390,Badoc,17.93,120.48,71.51,72,100,6.6,1584389306
391,Revelstoke,50.98,-118.2,32.0,96,1,5.82,1584389306
392,Forsytheganj,52.63,29.73,36.77,54,100,15.01,1584389306
393,Umm Hājar,13.3,19.7,79.79,11,4,10.13,1584389307
394,Aykino,62.22,49.99,28.49,94,100,11.9,1584389307
395,Chernyshevskiy,63.01,112.47,16.07,94,97,2.39,1584389307
396,Havøysund,71.0,24.66,21.2,92,75,58.61,1584389307
397,Heinsberg,51.07,6.08,54.0,76,40,3.36,1584389307
398,Horodkivka,49.91,28.98,36.05,50,86,11.05,1584389308
399,Padang,-0.95,100.35,68.81,94,51,5.5,1584389308
400,Kamuli,0.95,33.12,68.99,83,25,1.41,1584389308
401,Derventa,44.98,17.91,44.01,75,0,1.48,1584389308
402,Weiser,44.25,-116.97,59.0,47,1,3.36,1584389308
403,Mehamn,71.04,27.85,24.8,92,90,42.5,1584389308
404,Leshan,29.56,103.76,50.63,79,87,1.25,1584389309
405,Aswān,24.09,32.91,77.0,23,0,2.24,1584389309
406,Mayo,38.89,-76.51,55.0,50,75,5.82,1584389309
407,Shihezi,44.3,86.03,41.81,56,94,0.74,1584389309
